Unnamed: 0,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 60,region
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7393.68,7518.32,7814.25,7741.29,7640.22,7592.73,7524.5,7408.52,7168.46,6887.91,6766.62,6988.29,7035.26,7013.7,7098.35,7113.8,7152.7,,East Asia and Pacific
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.83,302.13,316.26,335.91,320.63,344.63,356.91,366.4,367.15,391.55,415.39,458.47,506.39,533.44,545.72,606.23,596.18,638.55,693.95,714.39,743.19,763.94,796.34,836.85,861.77,887.79,,East Asia and Pacific
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.02,499.22,523.84,554.09,600.76,665.8,708.7,770.23,815.58,878.08,970.56,1064.68,1205.65,1315.57,1446.71,1612.71,1853.21,2025.28,2177.88,2348.38,2528.62,2724.27,2893.25,3154.06,,East Asia and Pacific
Indonesia,358.28,376.28,391.98,366.59,359.69,358.46,343.77,364.11,386.75,398.57,399.03,405.97,422.14,422.7,469.02,476.22,493.39,513.55,542.01,598.56,659.07,751.41,758.93,797.65,811.46,802.65,803.69,814.17,829.92,848.69,916.03,965.99,976.91,1016.99,1079.26,1196.46,1293.28,1374.31,1271.37,1311.85,1314.35,1341.79,1374.48,1408.85,1459.12,1496.67,1523.77,1579.02,1641.41,1698.44,1755.3,1819.43,1894.01,1971.16,2048.28,2120.4,2200.36,2283.04,2373.08,,East Asia and Pacific
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.37,485.68,472.54,535.65,583.5,613.8,631.93,624.54,718.79,736.65,850.79,864.42,978.28,1010.73,1042.25,1072.81,1104.27,,,,East Asia and Pacific
Malaysia,930.15,958.37,973.36,973.55,993.92,1017.26,1027.56,1011.31,1001.94,1041.2,1051.07,1089.67,1120.62,1190.56,1267.26,1229.67,1267.9,1361.35,1464.11,1581.52,1738.09,1782.91,1798.66,1812.34,1881.9,1839.13,1609.16,1594.76,1729.91,1903.73,2070.86,2198.41,2242.28,2323.52,2479.01,2699.07,2811.63,2858.66,2502.02,2511.49,2773.47,2795.39,2843.74,3013.42,3245.59,3472.32,3629.61,3930.9,4192.74,4140.11,4350.01,4576.75,4887.53,5170.54,5457.61,5708.72,5961.25,6283.64,6692.1,,East Asia and Pacific
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588.46,2554.94,2406.93,2483.48,2344.17,2192.83,2176.0,2265.99,2300.28,2463.87,2351.73,2313.01,2385.41,2615.21,2578.26,,East Asia and Pacific
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.55,1659.76,1839.47,2081.31,2168.5,2299.41,2196.66,2271.83,2379.07,,East Asia and Pacific
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.03,,,,,,,,,,East Asia and Pacific
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9815.22,10410.7,10173.0,8767.94,9370.29,9302.52,9276.1,7917.23,8189.58,7925.33,8065.0,8413.3,8694.05,8905.56,9177.52,9750.44,9590.58,,East Asia and Pacific
